gate,status,severity,evidence,blocking_detail,next_action
HDF5 camera timing present,partial,guardrail,32/33 scanned HDF5 files have camera timing datasets.,"Timing rows exist, but sampled rows may represent sparse segment/cycle timing rather than raw frame cadence.",Confirm raw acquisition frame cadence semantics from microscope/HDF5 metadata.
HDF5 spatial calibration metadata present,fail,hard_blocker,0/33 scanned HDF5 files have spatial-calibration-like attribute hits; slide evidence gives 96 nm/px.,"Pixel size is slide-derived, not confirmed in raw HDF5/microscope metadata.",Locate raw microscope calibration metadata or independently verify the 96 nm/px scale.
ROI/HDF5 elapsed-time consistency,partial,guardrail,Median ROI elapsed / HDF5 elapsed ratio is 1.002 across 72 ROI with HDF5 timing.,"Global elapsed-time ratio is good, but source-level timing instability remains.",Audit frame-by-frame timestamps for the high max/median-ratio sources.
Per-ROI HDF5 timing stability,fail,hard_blocker,24/72 ROI pass the HDF5 timing-stability gate; max source dt max/median ratio is 13.78.,Only a minority of ROI pass the stricter timing-stability gate.,Prioritize source-level timestamp validation before physical units are used in claims.
Positive radius2/front expansion,partial,guardrail,26/72 ROI pass.,Some ROI remain excluded by this gate.,Use this gate to restrict manual review and avoid reporting failed candidates as diffusion coefficients.
Radius2 linear-fit quality,fail,hard_blocker,7/72 ROI pass.,Internal optical-front evidence is not strong enough for a calibrated diffusion claim.,Use this gate to restrict manual review and avoid reporting failed candidates as diffusion coefficients.
Threshold stability,partial,guardrail,63/72 ROI pass.,Some ROI remain excluded by this gate.,Use this gate to restrict manual review and avoid reporting failed candidates as diffusion coefficients.
Low drift,pass,guardrail,72/72 ROI pass.,This gate currently passes all audited ROI.,Use this gate to restrict manual review and avoid reporting failed candidates as diffusion coefficients.
q70 positive confidence interval,fail,hard_blocker,0/72 ROI pass.,Internal optical-front evidence is not strong enough for a calibrated diffusion claim.,Use this gate to restrict manual review and avoid reporting failed candidates as diffusion coefficients.
Automatic/publication diffusion candidates,fail,hard_blocker,1 automatic physics-consistent ROI and 0 publication-ready diffusion candidates.,No ROI passes the publication-ready diffusion gate.,Do not state calibrated material diffusion coefficients until manual labels and gate pass criteria are satisfied.
Manual QC accepted labels,blocked_pending_manual_qc,hard_blocker,0 manual front-effect labels and 0 manual diffusion-interpretable labels accepted; 52 pending/not accepted.,"Manual labels have not yet validated particle identity, front masks, or diffusion interpretability.",Review and label the manual-QC packet before treating front motion as physical diffusion.
Control-balanced diffusion sanity candidates,fail,hard_blocker,0 automatic positive proxy candidates and 0 publication diffusion candidates in the control-balanced sanity audit.,Control-balanced selected-front checks produce no publication-ready diffusion candidates.,Keep diffusion wording as optical-front proxy unless this independent sanity audit produces accepted candidates.
Event/control diffusion separability,fail,hard_blocker,Best control-balanced diffusion-proxy event/control p-value is 0.3136.,Diffusion proxies do not show robust event/control separation under this sanity design.,"Use source/event-balanced tests for prioritization only, not physical diffusion inference."
Manual visual review packet available,partial,guardrail,40 manual-review crops rendered across 12 sources; 1 strict-front-gate candidate(s).,Visual packet supports review but does not provide accepted labels.,"Use the packet to create manual labels, then rerun manual-QC-gated front and diffusion audits."
