topic,observation,evidence,strength
event_synchrony,Synchronized optical drop events have already passed a permutation sanity check.,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_synchrony/event_synchrony_summary.json,moderate
event_echem,81 cycles matched to electrochemistry; coarse cycle summaries do not fully explain events.,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_echem_coupling/event_echem_coupling_summary.json,moderate
protocol_context,Synchronized event cycles are linked to unusually short frame-count regimes.,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_protocol_context/event_protocol_context_summary.json,moderate
event_candidate_fronts,"Detected 88 candidate particle/front regions; outputs are apparent front proxies, not calibrated diffusion coefficients.",/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_candidate_fronts/event_candidate_fronts_summary.json,exploratory
validated_front_rois,Selected 10 cycle-86/116 candidate ROIs for next tracking from 16 scored candidates; selections are algorithmic and still need manual QC/spatial calibration.,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/validated_front_rois/validated_front_rois_summary.json,exploratory_to_moderate
selected_front_roi_tracking,"Tracked 12 selected front ROIs at full-pixel crop scale; cycle 86 mean radius2 slope -0.127 px2/s, R2 0.178; cycle 116 mean radius2 slope -0.167 px2/s, R2 0.284. These are apparent front-motion proxies, not calibrated diffusion coefficients.",/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/selected_front_roi_tracking_summary.json,exploratory_to_moderate
roi_rollout_baselines,"Evaluated 11 particle-ROI sequences with persistence, velocity, and low-rank DMD rollouts; DMD spectral radius 1.002.",/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_rollout_baselines/roi_rollout_baseline_summary.json,moderate_baseline
roi_event_conditioned_nextframe,"Trained a PCA-ridge event-conditioned next-frame model on 11 selected ROI sequences; cycle 86 residual mean 0.00171; cycle 116 residual mean 0.000611. Persistence remains a strong recursive baseline, so residuals are the main degradation descriptor.",/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_event_conditioned_nextframe/roi_event_model_summary.json,moderate_baseline
roi_residual_cnn_fast,A leave-one-cycle residual CNN on 11 selected ROIs did not beat persistence; overall relative MSE improvement -4.23.,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_residual_cnn_fast/roi_residual_cnn_summary.json,negative_baseline
roi_joint_physics_degradation_modes,"Combined rollout residual, front tracking, ROI physics, residual-CNN guardrails, and cycle evidence into 11 ROI joint modes; selected k=2 with silhouette 0.335. Top ROIs: cycle86_front4_obj9 score 2.86; cycle116_front3_obj9 score 1.72.",/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_joint_physics_degradation_modes/roi_joint_physics_degradation_modes_summary.json,moderate_synthesis
event_vs_control_roi_physics,"Compared 11 event ROIs against 16 matched control ROIs; strongest shifts: high_fraction_slope_per_frame p=0.000503; roi_mean_slope_per_frame p=0.00123. Leave-pair classifier did not generalize well, so controls are a guardrail.",/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/event_vs_control_roi_physics/event_vs_control_roi_physics_summary.json,moderate_control_check
event_forecasting,Best transparent leave-one-particle event-forecast F1 is 0.435.,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/particle_event_targets/particle_event_feature_baselines.csv,weak_to_moderate
