analysis,source,claim_family,metric_examples,spatial_evidence,time_evidence,claim_status,risk_level,recommended_wording,source_exists,n_rows,n_columns,h5_files_scanned,h5_files_with_camera_timing,h5_files_with_spatial_calibration_attrs,pptx_calibration_hits,calibration_guardrail
event_candidate_fronts,event_candidate_fronts/candidate_front_metrics.csv,early downsampled front candidates,"apparent_diffusion_proxy_ds_px2_per_frame, front/radius descriptors",downsampled pixels only,frame index only,proxy_only,high,Use as automatic front-candidate ranking only; do not interpret as calibrated diffusion.,True,88,34,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
roi_phase_boundary_mobility,roi_phase_boundary_mobility/roi_phase_boundary_mobility_descriptors.csv,selected ROI phase-boundary mobility,"phase fraction slopes, apparent diffusion proxy in px^2/frame",pixels; no raw HDF5 pixel-size attr,frame index/provisional timing,optical_front_proxy,high,Describe as apparent optical boundary mobility in cropped particle ROIs.,True,43,41,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
multi_cycle_roi_mobility,multi_cycle_roi_mobility/multi_cycle_roi_mobility_descriptors.csv,multi-cycle front/mobility descriptors,"front displacement, phase fraction, apparent diffusion proxies",automatic ROI pixels; no raw HDF5 spatial calibration,"cycle/ROI timing context, not direct true cadence proof",optical_front_proxy,high,"Use for event/control morphology comparisons, not transport constants.",True,52,48,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
multi_cycle_threshold_robust_fronts,multi_cycle_threshold_robust_fronts/threshold_sweep_per_roi.csv,threshold-robust front and phase-slope readout,"phase_slope_*_per_s, diffusion_proxy_*_um2_per_s",slide_derived_96nm_px,h5_camera_timing_present_but_sparse_proxy,phase_sign_usable_diffusion_proxy_only,medium_high,Phase-slope sign/fraction trends are usable optical proxies; diffusion numbers are apparent um^2/s proxies pending calibration provenance.,True,364,22,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
front_roi_calibration_qc,front_roi_calibration_qc/calibrated_front_tracking.csv,calibrated-front QC table,"diffusion_proxy_median_um2_per_s, radius2 slopes, CI flags",slide_derived_96nm_px,h5_camera_timing_present_but_sparse_proxy,apparent_um_scale_proxy,medium_high,Keep units as apparent um^2/s optical-front proxies and pair with QC flags/manual labels.,True,12,52,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
protocol_conditioned_front_effects,protocol_conditioned_front_effects/protocol_conditioned_front_residuals.csv,protocol-conditioned front residuals,"phase_slope_positive_fraction_protocol_residual, diffusion residuals",slide_derived_96nm_px,h5_camera_timing_present_but_sparse_proxy,conditioned_optical_proxy,medium,Emphasize robust phase-front direction residuals; do not upgrade diffusion residuals to physical transport.,True,52,21,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
front_qc_sensitivity,front_qc_sensitivity/front_qc_sensitivity_focus_tests.csv,automatic QC sensitivity of front residuals,"phase-sign residual strata, diffusion-proxy strata",slide_derived_96nm_px,h5_camera_timing_present_but_sparse_proxy,qc_guardrail,medium,Use as sensitivity support for phase-sign residuals and as negative evidence for diffusion robustness.,True,45,17,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
control_balanced_front_qc_sensitivity,control_balanced_front_qc_sensitivity/control_balanced_front_qc_sensitivity_focus_tests.csv,balanced QC front sensitivity,balanced event/control phase-sign and diffusion residual tests,slide_derived_96nm_px,h5_camera_timing_present_but_sparse_proxy,qc_guardrail,medium,Use the balanced panel to support phase-sign robustness; keep diffusion as non-significant/proxy.,True,78,16,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
phase_kinetics_avrami,phase_kinetics_avrami/phase_kinetics_avrami_roi_table.csv,optical phase kinetics / Avrami-style descriptors,"logistic_k_per_s, transformed_fraction_delta, Avrami proxy terms",particle ROI intensity/phase fractions; spatial calibration mostly not required except front-linked covariates,h5_camera_timing_present_but_sparse_proxy,descriptive_optical_kinetics_proxy,medium_high,"Report as optical transition-sharpness/rate descriptors, not reaction constants.",True,52,79,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
manual_qc_gated_front_effects,manual_qc_gated_front_effects/manual_qc_gated_front_effect_tests.csv,manual-QC-gated front/diffusion effects,only emitted after manual particle/front/diffusion labels accept rows,slide_derived_96nm_px,h5_camera_timing_present_but_sparse_proxy,publication_gate_pending,low_when_populated_high_now,No manual-QC accepted front/diffusion claim should be made until this table is populated.,True,0,13,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
roi_front_qc_package,roi_front_qc_package/roi_front_qc_manifest.csv,manual visual review package,QC panels and pending manual labels,"visual particle crop review, not measurement calibration",not a timebase measurement,review_prioritization_only,low_for_review_high_for_physics_claim,Use to assign labels and inspect artifacts; it does not validate diffusion by itself.,True,24,27,33,32,0,3,"This audit verifies metadata evidence for timebase/spatial calibration. Camera timing is present in sampled HDF5 files, but the sampled timing rows can represent sparse segment/cycle timing rather than true camera frame cadence. Physical pixel-size evidence should be treated as slide-derived unless raw HDF5 attributes or microscope metadata explicitly confirm it."
